latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-14.281,143.636,323.9,1.7,1.3,1/10/2019,25,Terra,MODIS,70,6.0NRT,302.3,26.8,D
-14.284,143.532,343.5,1.7,1.3,1/10/2019,25,Terra,MODIS,90,6.0NRT,306.3,84.3,D
-14.302,143.706,320.2,1.7,1.3,1/10/2019,25,Terra,MODIS,30,6.0NRT,305,14.1,D
-14.283,143.652,320.4,1.7,1.3,1/10/2019,25,Terra,MODIS,57,6.0NRT,303.3,18.4,D
-14.285,143.521,349.4,1.7,1.3,1/10/2019,25,Terra,MODIS,94,6.0NRT,304.7,110.7,D
-14.273,143.589,328.1,1.7,1.3,1/10/2019,25,Terra,MODIS,62,6.0NRT,304.6,32.4,D
-14.768,141.792,324.3,2.3,1.5,1/10/2019,25,Terra,MODIS,57,6.0NRT,308.1,24,D
-14.304,143.512,338,1.7,1.3,1/10/2019,25,Terra,MODIS,86,6.0NRT,304,66.1,D
-14.267,143.557,329.3,1.7,1.3,1/10/2019,25,Terra,MODIS,65,6.0NRT,304.2,34.2,D
-14.307,143.528,331.1,1.7,1.3,1/10/2019,25,Terra,MODIS,70,6.0NRT,305.2,40.8,D
-14.274,143.523,337.7,1.7,1.3,1/10/2019,25,Terra,MODIS,86,6.0NRT,303.2,62.7,D
-14.298,143.546,323.3,1.7,1.3,1/10/2019,25,Terra,MODIS,67,6.0NRT,305.3,18.7,D
-14.293,143.514,329.7,1.7,1.3,1/10/2019,25,Terra,MODIS,69,6.0NRT,303.6,40.4,D
-14.281,143.516,340.3,1.7,1.3,1/10/2019,25,Terra,MODIS,87,6.0NRT,302.8,73.8,D
-15.99,144.631,337.2,1.4,1.2,1/10/2019,25,Terra,MODIS,86,6.0NRT,307.7,40.4,D
-12.098,142.316,322,2.4,1.5,1/10/2019,25,Terra,MODIS,75,6.0NRT,296,42.2,D
-13.365,141.954,323.1,2.4,1.5,1/10/2019,25,Terra,MODIS,71,6.0NRT,302.7,43.1,D
-16.934,143.176,334,1.6,1.3,1/10/2019,25,Terra,MODIS,78,6.0NRT,307.2,43.4,D
-15.992,144.644,324,1.4,1.2,1/10/2019,25,Terra,MODIS,34,6.0NRT,307.5,13.3,D
-15.904,144.601,338.2,1.4,1.2,1/10/2019,25,Terra,MODIS,82,6.0NRT,307,45.6,D
-15.906,144.614,351.9,1.4,1.2,1/10/2019,25,Terra,MODIS,95,6.0NRT,308.9,86.2,D
-15.908,144.626,333.4,1.4,1.2,1/10/2019,25,Terra,MODIS,69,6.0NRT,307.1,34.5,D
-15.932,144.537,321.5,1.4,1.2,1/10/2019,25,Terra,MODIS,35,6.0NRT,307.8,8.8,D
-15.98,144.633,337,1.4,1.2,1/10/2019,25,Terra,MODIS,85,6.0NRT,310.6,38.7,D
-15.982,144.645,333.4,1.4,1.2,1/10/2019,25,Terra,MODIS,77,6.0NRT,308.4,30.4,D
-16.988,143.292,341.1,1.6,1.3,1/10/2019,25,Terra,MODIS,86,6.0NRT,310.9,58,D
-17.056,143.35,351.7,1.6,1.2,1/10/2019,25,Terra,MODIS,94,6.0NRT,313.7,93.3,D
-18.317,142.437,328.7,1.8,1.3,1/10/2019,25,Terra,MODIS,54,6.0NRT,310.2,23.1,D
-16.834,139.103,311.9,3.3,1.7,1/10/2019,25,Terra,MODIS,29,6.0NRT,301.1,43.5,D
-18.306,142.439,332.9,1.8,1.3,1/10/2019,25,Terra,MODIS,61,6.0NRT,311.8,33.3,D
-17.006,138.957,330.8,3.4,1.7,1/10/2019,25,Terra,MODIS,75,6.0NRT,307.7,91.6,D
-17.016,138.948,327.7,3.4,1.7,1/10/2019,25,Terra,MODIS,70,6.0NRT,306.5,74.6,D
-18.32,142.454,333.5,1.8,1.3,1/10/2019,25,Terra,MODIS,73,6.0NRT,312.4,35.2,D
-12.453,141.71,321.8,2.6,1.5,1/10/2019,25,Terra,MODIS,0,6.0NRT,300.4,42.1,D
